激光脱毛 | 12次 | 腋下唇部2选1 唇毛，腋毛2选1，脱掉尴尬,340,648
第四代热玛吉 | 面部900发 四维验真 探头支持销毁带走,9699,355
美国品牌 | 50-100单位 | 瘦脸 正品验真|改善咬肌|进口瘦脸,2340,425
国产品牌 | 200单位 | 瘦腿 足量验真改善肌肉腿 修饰腿部线条,1839,564
美国品牌 | 15-20单位 | 抬头纹川字纹眉间纹3选1 改善细纹可扫码验真除皱,803.5,529
气动洁牙 【工作日】德国进口气动声波洁牙洗牙+抛光/舒适洗牙清理牙结石,129,367
水杨酸 | 博乐达水杨酸 改善黑头/痤疮/改善肤质,680,269
皮秒激光 | PicoSure蜂巢皮秒 | 全模式 全面部 淡斑 淡化斑点色素沉淀,2399,173
国产品牌 | 200单位 | 瘦肩 改善斜方肌 支持扫码验真,1839,356
国产品牌 | 50-100单位 | 瘦脸 支持验真 | 改善咬肌,737.9,225
乔雅登极致0.8mL 玻尿酸支持当面扫码验真,5335.9,162
射频紧肤 | 眼周细纹 3D相控射频 淡化黑眼圈 改善眼周细纹,680,210
玻尿酸精华导入 水漾活肤玻尿酸精华导入 补水保湿,209.7,247
嗨体1.5mL 淡化颈纹正品可验,2070.5,57
乔雅登雅致0.8mL 玻尿酸 当面扫码验真 鼻唇沟,4312.9,106
射频紧肤 | 面部紧肤 3D相控射频 清晰下颌缘/射频紧肤 全面部,1235.5,83
半永久纹眉 [纹绣]水雾眉/半永久纹眉纹绣 手工定制/国产色乳/不含补色,550,147
美国品牌 | 50-100单位 | 瘦脸 当面验真 此价格仅限周一或周四来院,1868.7,105
瑞蓝2号1mL 铂金瑞蓝玻尿酸 进口品质足量填充,2741.5,127
第四代热玛吉 | 眼周450发 四维验真 探头支持销毁带走|足量发数,9699,82
碧萃诗2mL 碧萃诗水光2ML 补水保湿,1299,97
[套餐] 光子嫩肤全模式AOPT黄金超光子+海菲秀 清洁嫩肤,1393.1,90
[套餐] 光子嫩肤 AOPT超光子嫩肤，修丽可|提亮肤色|3次,3661.5,99
[祛颈纹套餐] 嗨体1.5mL+嗨体2.5mL 淡化颈纹,3495.9,20
推拿 [60分钟]全身经络刷体法排毒，疏通经络，促进气血运行,155,60
第四代热玛吉 | 面颈部1200发 四维验真 探头支持销毁带走 抗衰,15389.9,43
新一代热玛吉 | 面颈部900发 探头支持销毁带走|足量发数 紧致抗衰,18800,34
气动洁牙 【节假日】德国气动洁牙 送抛光 舒适洗牙清理牙结石,199,72
推拿 [中医调理]中医肩颈腰理疗，缓解痛症/放松身心,358,66
美国品牌 | 50单位 | 提升下颌缘 正品验真 清晰轮廓改善下颌缘,2280,63
嗨体2.5mL 官方认证可验真|可视化配药,1310.9,60
微针美塑 | 伊肤泉祛痘控油组合 改善痘肌/淡化痘印,1269.5,53
[套餐] 喷沙洗牙+气动洁牙 【工作日】瑞士EMS喷砂 气动洁牙+抛光,249,45
[套餐] 半岛超声炮超声软组织理疗+抗敏修护 M刀头模式  认证机构,9800,15
皮秒激光 | PicoSure蜂巢皮秒 | 全模式 全面部  改善色沉|淡化斑点,2399,23
黄金微针 进口射频微针 全脸|淡化痘印|改善毛孔粗大,5558.9,38
注射治疗狐臭 国产非手术除腋臭100U  足量可验真 改善体味,1980,41
国产品牌 | 50-100单位 | 瘦脸 正品可验真 改善咬肌,809.5,35
激光脱毛 | 1次 | 小腿大腿大臂小臂 四肢脱毛单次体验 限1次,1379,29
新一代热玛吉 | 眼周450发 足量发数|探头支持销毁带走 改善眼周细纹,14724.9,10
半永久纹眉 水雾眉/半永久纹眉纹绣 手工纹绣师 进口色乳/不含补色,850,30
激光脱毛 | 12次 | 手臂私密部位小腿3选1 手臂/小腿/比基尼脱毛3选1,3385.5,22
酷塑 | 腹部侧腰腰腹3选1 | 1个点位 冷冻减脂2.0 小点位买即赠,4635.9,12
美国品牌 | 100单位 | 瘦脸提升下颌缘 扫码验真此价格仅限周一或周四来院,4598.1,22
射频紧肤 | 双下巴下颌缘2选1 超塑 减脂+紧致,1710,17
推拿 [中医妇科]妇科气血推拿调理，气血通畅,128,20
润致水光2mL 当面拆封可视化配药正品可验,1400,18
激光淡斑 C10激光淡斑，改善面部色素沉着、雀斑 改善黄褐斑,1679.9,8
推拿 [45分钟]肩颈理疗 促进血液循环经络通畅 放松肩颈,125,12
补牙 3M-Z350XT树脂补牙 美国3M树脂补牙 修复龋洞 蛀牙,399,11
喷沙洗牙 【节假日】瑞士EMS单人气动洁牙，喷砂洗牙+抛光，清理牙结石,299,12
瑞蓝丽v1mL 玻尿酸  改善鼻唇沟 支持扫码验真,6860,12
推拿 [45分钟]经络刷体美背，经络推拿,125,11
半永久纹眉 少女水雾眉/半永久纹眉纹绣 合资色乳 不含补色,1550,11
拔智齿 [上颌非阻生智齿]智齿发炎肿痛，拔上颌智齿，疼痛感低,399,13
补牙 【补后牙】美国进口3M P60纳米树脂补牙，高强耐磨，硬度高,599,9
酷塑 | 腰腹腹部侧腰3选1 | 1个点位 冷冻减脂2.0 升级版大点位买即赠,4635.9,9
冷光美白 飞利浦Philips ZOOM 牙齿美白 美国进口,999,11
激光脱毛 | 12次 | 全身 脱毛可使用12次 包年 脱掉尴尬，皮肤光滑,9015.9,11
瓷贴面 美白全瓷贴面，修复牙缺损/黄牙/色素牙/颜色自然通透逼真,1980,8
乔雅登丰颜1mL 玻尿酸 当面验真 立体塑型,11060,5
[套餐] 乔雅登极致0.8mL+美国品牌 玻尿酸2支扫码验真赠进口除皱单部位2次,16520,6
新一代热玛吉 | 面部600发 探头支持销毁带走|足量发数 紧致抗衰,23219.9,5
推拿 [45分钟]推拿经络美胸提升 经络推拿,125,7
酷塑 | 腹部腰腹侧腰3选1 | 6个点位 冷冻减脂2.0小点位买1赠3官方认证,24900,3
[套餐] 半岛超声炮+嗨体2.5mL+碧萃诗2mL 【医美小魔盒】超声炮M双刀模式,9199,5
点阵激光 二氧化碳激光点阵 改善痘坑痘印,1980,3
涂氟 儿童涂氟 牙齿涂氟防蛀 抗敏预防蛀牙，保护牙齿,99,6
肤丽美 | 1mL 双美|胶原蛋白 正品可验|可视化配药,8600,4
美国品牌 | 50-100单位 | 瘦脸 正品可验真 改善咬肌,3900,4
拔牙 舒适拔牙 拔除坏牙 松动牙(不含智齿 残根),99,5
乳牙间隙管理 儿童乳牙拔除 拔乳牙 不伤邻牙 创口小 疼痛小,59,5
窝沟封闭 [限首次]儿童 窝沟封闭 单颗 安抚情绪,99,6
[套餐] 乔雅登极致0.8mL+乔雅登雅致0.8mL 玻尿酸支持扫码验真赠除皱,11680,3
乔雅登缇颜1mL 玻尿酸  官方认证 支持扫码验真,9660,0
拔智齿 [下颌非阻生智齿]智齿发炎肿痛，拔下颌智齿，疼痛感低,499,4
喷沙洗牙 [脱敏洁牙]瑞士EMS脱敏洗牙+抛光+喷砂 轻柔淡色素,399,3
[套餐] 半岛超声炮+光子嫩肤 认证机构,9800,2
[套餐] 黄金微针+微针水光可丽金星光 射频微针全面部|补水,8800,2
艾灸 [中医失眠调理]医生面诊 对症调理 轻松睡眠,358,2
针灸 [颞下颌关节紊乱调理]医生面诊 改善关节弹响及肌肉疼痛,580,1
正畸检查 正畸口扫 牙齿矫正检查 预知牙矫正后效果,9.9,4
补牙 3M-Z250通用树脂补牙 美国3M树脂补牙 修复牙洞,228,3
补牙 儿童纳米树脂补牙，美国3M，咬合正常，颜色自然,599,2
[套餐] 光子嫩肤+海菲秀 AOPT超光子6次+海菲秀6次清洁嫩肤,9800,0
[抗衰套餐] 第四代热玛吉+半岛超声炮 扫码验真足量发数,18800,1
第四代热玛吉 | 面部眼周 四维验真足量发数探头支持销毁带走,18799.9,2
Princess Volume1mL 公主玻尿酸立体填充,2980,1
[套餐] 光子嫩肤全模式AOPT黄金超光子+嗨体2.5mL 提亮肤色,1980,2
推拿 [中医整脊] 面诊+整脊调理 推拿脊椎矫正,398,5
牙托美白 飞利浦 家庭美白套装 在家就能白,2982,1
拔牙 残根残冠拔除[不含智齿] 牙齿残根 牙龈内残根拔除,188,1
牙齿隐形矫正 美国隐适美牙齿矫正，矫正龅牙/牙齿不齐，隐形透明自行摘戴,32800,1
润致水光2mL 3次水光补水,5800,0
[套餐] 半岛超声炮超声软组织理疗+海菲秀 清洁嫩肤,9800,0
[套餐] 第四代热玛吉+光子嫩肤 全脸900发+AOPT超光子官方认证,13800,0
[套餐] 光子嫩肤+美国品牌 AOPT超光子进口单部位除皱改善动态纹提亮肤色,1680,0
射频微针 黄金微针面+颈+眼|淡化痘坑痘印改善毛孔粗大,6799.9,0
[补水嫩肤套餐] 光子嫩肤全模式AOPT黄金超光子+瑞蓝唯v1mL 保湿提亮肤色,5280,0
隔空减脂 | 颈部 超塑双模 减脂+紧致 改善富贵包,2295.9,0
隔空减脂 | 大腿 超塑 减脂+紧致 瘦大腿内侧,2623.9,0
隔空减脂 | 臀部 超塑减脂+紧致 改善妈妈臀,2295.9,0
隔空减脂 | 副乳 超塑减脂+紧致  改善副乳,2295.9,0
弗缦 | 1mL 胶原蛋白|原装正品 扫码验真,8600,0
推拿 [45分钟] 精油翘臀术按摩，改善扁平臀,125,0
[套餐] 乔雅登雅致0.8mL+美国品牌 玻尿酸2支扫码验真赠单部位进口除皱2次,9999,1
瑞蓝唯v1mL 可视化配药|支持验真,4400,0
推拿 [脊椎调理]脊椎综合推拿调理,1300,0
推拿 [体态矫正]改善不良体态 塌腰/驼背/高低肩/骨盆前倾,1300,0
[套餐] 微创种植牙+全瓷牙 韩国登腾 种植牙 含国产全瓷冠,6888,0
[套餐] 窝沟封闭+涂氟 儿童防蛀套餐 进口全口涂氟+4颗窝沟封闭,649,0
窝沟封闭 儿童窝沟封闭 四颗后槽牙 安抚情绪,599,0
美白贴片 瓷贴面 瑞士进口E-max全瓷贴面 修复牙缝缺损 美白牙齿,3999,0
种植牙检查 牙齿缺失CT+内窥镜检查 种植牙检查 种植牙方案,58,0
